ProjectID,ProjectName,TaskName,DueDate,,SubTaskLevel,ParentTaskID,PIC,Completion,Notes,StartDate,Dependencies
4,Dual Pump for Pit Project,Define Scope/Objective,2025-03-21,,0,,,100,,2025-03-11,
4,Dual Pump for Pit Project,Create system diagram,2025-04-25,,0,,,50,,2025-03-17,
4,Dual Pump for Pit Project,Develop BOM,2025-04-11,,0,,,75,,2025-03-15,
4,Dual Pump for Pit Project,Procure BOM components,2025-04-25,,0,,,0,,2025-04-11,
4,Dual Pump for Pit Project,Programming,2025-05-03,,0,,,0,,2025-04-20,
4,Dual Pump for Pit Project,Bench-top Setup,2025-05-26,,0,,,0,,2025-04-20,
4,Dual Pump for Pit Project,Documentation,2025-06-12,,0,,,0,,2025-04-23,
4,Dual Pump for Pit Project,Training,2025-07-08,,0,,,0,,2025-05-24,
4,Dual Pump for Pit Project,Maintenance,2025-06-07,,1,7,,0,,2025-07-08,parent
4,Dual Pump for Pit Project,Operators,2025-07-09,,1,7,,0,,2025-07-08,parent
4,Dual Pump for Pit Project,Install,2025-06-29,,0,,,0,,2025-06-15,
4,Dual Pump for Pit Project,Change of Management,2025-07-21,,0,,,0,,2025-06-14,
4,Dual Pump for Pit Project,Final Safety Review,2025-07-08,,0,,,0,,2025-07-07,
2,Overhaul 2025,,,,0,,Mitch,0,,,,
3,Annunciator Move,Acquire Quote,2025-04-09,,0,,,100,,2025-03-27,
3,Annunciator Move,Review Scope with CINTAS,2025-03-30,,1,0,,100,Reviewed scope with Cintas and requested Quote. ,2025-03-27,parent
3,Annunciator Move,Receive Quote,2025-04-09,,0,,,0,,2025-04-07,
3,Annunciator Move,Move Fire Extinguisher,2025-04-18,,0,,,0,,2025-04-07,
3,Annunciator Move,Cut drywall and move extinguisher,2025-04-14,,1,2,,0,,2025-04-10,parent
3,Annunciator Move,Repair drywall,2025-04-17,,1,2,,0,,2025-04-14,parent
3,Annunciator Move,Paint,2025-04-18,,1,2,,0,,2025-04-17,parent
1,Central Vacuum Upgrade,Contact Contractor,2025-04-07,,0,,,100,Contact vendor for recommendations.,2025-04-03,
1,Central Vacuum Upgrade,Budgetary Costs,2025-04-11,,0,,,0,Acquire budgetary costs,2025-04-06,
PICList,Mitch,Terry,Yoda,Jerry
